judge,criterion,n,pearson,spearman,mae,judge_mean,human_mean,paragraph_type
llama-3.3-70b,clarity,299,0.49294372066243386,0.5648433216552264,11.651341672077457,83.4448160535117,78.41662948719804,
llama-3.3-70b,clarity,60,0.47256175352481755,0.3031728358782411,9.570220057720055,86.76666666666667,80.97761063011062,edited
llama-3.3-70b,clarity,180,0.413369824394672,0.507388215454714,11.171201329534663,90.62777777777778,80.43622852456186,model
llama-3.3-70b,clarity,59,0.23398103891040456,0.2529694423328459,15.232571477486733,58.152542372881356,69.65075329566855,writer
llama-3.3-70b,informativeness,300,0.6062589909683844,0.5565493727210388,12.487866577866578,59.53,58.04572516372517,
llama-3.3-70b,informativeness,60,0.5144208426209381,0.3713689320668052,12.972578162578163,61.1,61.34584415584415,edited
llama-3.3-70b,informativeness,180,0.47506690736814494,0.46350589150908494,12.457447984114651,64.18333333333334,62.43718984718984,model
llama-3.3-70b,informativeness,60,0.5647913504422655,0.4875455022828485,12.094410774410772,44.0,41.57121212121212,writer
gemini-2.0-flash,clarity,300,0.5503336298649518,0.5994948344325661,8.61764528064528,76.58333333333333,78.37424072224071,
gemini-2.0-flash,clarity,60,0.5199444086954917,0.4100298062672114,7.190186387686388,79.05,80.97761063011062,edited
gemini-2.0-flash,clarity,180,0.5560082777385837,0.5294643693671239,6.759731071397739,82.42222222222222,80.43622852456186,model
gemini-2.0-flash,clarity,60,0.13015878642921505,0.14591652218357878,15.618846801346802,56.6,69.5849074074074,writer
gemini-2.0-flash,informativeness,300,0.5989652308989848,0.5009215802867086,9.684721796721796,55.65,58.04572516372517,
gemini-2.0-flash,informativeness,60,0.6880011841357224,0.5091692933929284,8.381685906685908,57.083333333333336,61.34584415584415,edited
gemini-2.0-flash,informativeness,180,0.3633613733255383,0.3019898685776732,9.884153932487266,57.94444444444444,62.43718984718984,model
gemini-2.0-flash,informativeness,60,0.6378272861488608,0.5904640237832454,10.389461279461278,47.333333333333336,41.57121212121212,writer
