panel,cat,method,mean,lo,hi,n
left,Used for training,naive,29.013071895424837,28.278734827264238,29.772949735449735,6426
left,Used for training,lit_informed_tight,24.811624649859944,24.314030890133832,25.33972922502334,12852
left,Used for training,bon_panel,34.02482103952692,33.777006821247014,34.286079339143065,38556
left,Used for training,bon_panel_nli,28.24193381056126,27.986455415499535,28.51328781512605,38556
left,Used for training,bon_panel_single_nli,27.451317564062663,27.169884064737005,27.749627814088598,38556
left,Used for training,grpo_400step,33.782965037867,33.48320040979355,34.076104237991494,38556
left,Used for training,grpo_nli_400step,19.910338209357818,19.631594304388422,20.183066189438737,38556
left,Used for training,grpo_nli_single,19.25811806203963,18.981450357920945,19.52198944392572,38556
left,Used for training,lit_informed_tight_strictlen_opus47,40.935807656395895,40.12423552754435,41.72628968253968,4284
left,Not used for training,naive,23.32337379396203,22.569708994708996,24.0526338313103,6426
left,Not used for training,lit_informed_tight,24.19467787114846,23.74488017429194,24.665732959850605,12852
left,Not used for training,bon_panel,27.61832140263513,27.326466697790227,27.93896215893765,38556
left,Not used for training,bon_panel_nli,24.724608361863265,24.421290460628697,25.048515795206974,38556
left,Not used for training,bon_panel_single_nli,24.62428675173773,24.31346742400664,24.933138162672474,38556
left,Not used for training,grpo_400step,27.835797281875713,27.547608024691357,28.146199035169623,38556
left,Not used for training,grpo_nli_400step,18.969161738769582,18.71994306982052,19.24213676211225,38556
left,Not used for training,grpo_nli_single,18.38562091503268,18.12572556800498,18.648519037244526,38556
left,Not used for training,lit_informed_tight_strictlen_opus47,27.25560224089636,26.25735877684407,28.124900793650795,4284
right,"Same criterion for
training and evaluation",naive,21.6255057578587,21.019872393401805,22.303882664176783,12852
right,"Same criterion for
training and evaluation",lit_informed_tight,19.00980392156863,18.604371887643946,19.44233485060691,25704
right,"Same criterion for
training and evaluation",bon_panel,23.43406087486545,23.193506150986078,23.72029859619759,77109
right,"Same criterion for
training and evaluation",bon_panel_nli,20.08645865753709,19.86021987498703,20.344221716464364,77112
right,"Same criterion for
training and evaluation",bon_panel_single_nli,19.812944975425037,19.578703430482893,20.067390369812628,77111
right,"Same criterion for
training and evaluation",grpo_400step,25.135068539340413,24.862960609287477,25.40130426211854,77109
right,"Same criterion for
training and evaluation",grpo_nli_400step,15.492193173565722,15.26191448801743,15.725280760452328,77112
right,"Same criterion for
training and evaluation",grpo_nli_single,15.008662836689966,14.780495576618602,15.235424524219422,77111
right,"Same criterion for
training and evaluation",lit_informed_tight_strictlen_opus47,31.20296451914099,30.475137138188607,31.91795634920635,8568
right,"Different criterion for
training and evaluation",naive,4.796763149704327,4.344337457205104,5.195158341114223,12852
right,"Different criterion for
training and evaluation",lit_informed_tight,22.022953625894804,21.47075941487706,22.554024665421725,12852
right,"Different criterion for
training and evaluation",bon_panel,23.952043780475154,23.661000881834216,24.280717657433343,38556
right,"Different criterion for
training and evaluation",bon_panel_nli,21.571999170038385,21.269438608776845,21.88127852993049,38556
right,"Different criterion for
training and evaluation",bon_panel_single_nli,21.428052702562507,21.133563517999793,21.73780280630771,38556
right,"Different criterion for
training and evaluation",grpo_400step,24.771086212262684,24.478439801846665,25.058194574125945,38556
right,"Different criterion for
training and evaluation",grpo_nli_400step,18.20686793235813,17.96710693536674,18.47007858699035,38556
right,"Different criterion for
training and evaluation",grpo_nli_single,18.13115987135595,17.900070028011204,18.406241570702353,38556
right,"Different criterion for
training and evaluation",lit_informed_tight_strictlen_opus47,26.953314659197012,26.113813025210085,27.842454481792718,4284
